names,signf_1,signf_2,signf_3,signf_4,signf_5,signf_6,signf_7
00263,1,1,1,1,0,0,1
00264,1,1,1,1,1,1,1
00265,1,1,1,1,1,1,0
00266,1,1,1,1,0,0,0
00267,1,1,1,1,1,1,1
00268,1,1,1,1,1,1,0
00269,1,1,1,1,0,0,0
00270,1,1,1,1,1,1,1
00271,1,1,1,1,1,0,1
00272,1,1,1,1,1,1,1
00273,1,1,1,1,1,1,1
00274,1,1,1,1,1,1,1
00275,1,1,1,1,0,0,1
00276,0,0,0,0,0,0,0
00277,1,1,1,1,1,1,0
00278,1,1,1,1,1,1,0
00279,1,1,1,1,1,1,0
00280,1,1,1,1,1,1,1
00281,1,1,1,1,1,0,0
00282,1,1,1,1,1,1,1
00283,1,1,1,1,1,1,0
00284,1,1,1,1,1,1,1
00285,1,1,1,1,1,1,1
00286,1,1,1,1,1,1,1
00287,1,1,1,1,1,0,0
00288,1,1,1,1,1,1,0
00289,1,1,1,1,1,1,1
00290,1,1,1,1,1,1,1
00291,1,1,1,1,1,1,0
00292,1,1,1,1,1,1,1
00293,1,1,1,1,1,0,1
00294,1,1,1,1,1,1,0
00295,1,1,1,1,1,1,1
00296,1,1,1,1,1,1,1
00297,1,1,0,1,0,0,0
00298,1,1,1,1,1,1,1
00299,1,1,1,1,1,1,0
00300,1,1,1,1,1,1,0
00301,1,1,1,1,1,1,1
00302,1,1,1,1,1,1,1
00303,1,1,1,0,0,0,0
00304,1,1,1,1,1,1,1
00305,1,1,1,0,0,0,0
00306,1,1,1,0,1,0,1
00307,1,1,1,1,1,1,0
00308,1,1,1,1,1,1,1
00309,1,1,1,1,1,0,0
00310,1,1,1,1,1,0,0
00311,1,1,1,1,0,0,0
00312,1,1,1,1,1,0,0
00313,1,1,1,1,0,0,1
00314,1,1,0,0,0,0,1
00315,1,0,0,0,0,0,1
00316,1,1,1,0,0,0,0
00317,1,1,1,1,1,1,1
00318,1,1,1,1,1,0,0
00319,1,1,1,1,1,1,0
00320,1,1,1,1,1,1,1
00321,1,1,1,1,1,0,0
00322,1,1,1,1,1,1,0
00323,1,1,1,1,1,1,1
00324,1,1,1,1,0,0,0
00325,1,1,1,1,0,0,0
00326,1,1,1,1,1,0,0
00327,1,1,1,1,1,1,1
00328,1,1,1,1,1,1,0
00329,1,1,1,1,1,0,0
00330,1,1,1,1,1,1,1
00331,1,1,0,0,0,0,0
00332,1,1,1,1,1,1,1
00333,1,1,1,1,1,1,1
00334,1,1,1,1,0,0,0
00335,1,1,1,1,1,0,0
00336,1,1,1,0,0,1,1
00337,1,1,1,1,1,0,0
00338,1,1,1,1,1,1,1
00339,1,1,1,1,1,1,1
00340,1,1,1,1,1,1,1
00341,1,1,1,1,1,0,0
00342,1,1,1,1,1,1,1
00343,1,1,1,1,1,1,0
00344,1,1,1,1,1,1,0
00345,1,1,1,1,1,1,0
00346,1,1,1,1,1,1,0
00347,1,1,1,1,0,0,0
00348,1,1,1,1,1,1,1
00349,1,1,1,1,1,1,1
00350,1,1,1,1,1,1,0
00351,1,1,1,1,1,1,0
00352,1,1,1,1,1,0,0
00353,1,1,1,1,1,0,1
00354,1,1,1,1,0,0,0
00355,1,1,1,1,1,0,0
00356,1,1,1,1,1,1,0
00357,1,1,1,1,1,1,1
00358,1,1,1,0,0,0,0
00359,1,1,1,1,0,1,1
00360,1,1,1,1,1,1,0
00361,1,1,1,1,1,1,1
00362,1,1,1,1,1,1,1
00363,1,1,1,1,1,1,1
00364,1,1,1,1,1,0,0
00365,1,1,1,1,0,0,1
00366,1,1,1,1,1,1,0
00367,1,1,1,1,1,0,1
00368,1,1,1,1,0,1,1
00369,1,1,1,1,1,1,1
00370,1,1,1,1,1,1,1
00371,1,1,1,1,1,1,1
00372,0,0,1,1,1,0,0
00373,1,1,1,1,1,1,1
00374,1,1,1,1,1,1,1
00375,1,1,1,1,1,1,1
00376,1,1,1,1,1,0,1
00377,1,1,1,1,1,1,1
00378,1,1,1,1,1,1,0
00379,1,1,1,1,1,1,0
00380,1,1,1,1,0,1,1
00381,1,1,1,1,1,1,1
00382,1,1,1,1,1,1,1
00383,1,1,1,1,0,0,1
00384,1,1,1,1,1,1,1
00385,1,1,1,1,1,1,0
00386,1,1,1,1,1,1,1
00387,1,1,1,1,1,1,0
00388,1,1,1,1,1,1,1
00389,1,1,1,1,0,0,0
00390,1,1,1,1,1,1,0
00391,1,1,1,1,1,1,0
00392,1,1,1,0,0,0,0
00393,1,1,1,1,1,1,1
00394,1,1,1,1,1,1,1
00395,1,1,1,1,1,1,0
00396,1,1,1,1,1,1,1
00397,1,1,1,1,0,1,1
00398,1,1,1,1,1,0,0
00399,1,1,1,1,1,0,1
00400,1,1,1,1,1,1,0
00401,1,1,1,1,1,1,1
00402,1,1,1,1,1,0,0
00403,1,1,1,1,0,1,1
00404,1,1,1,1,1,1,1
00405,1,1,1,1,1,1,0
00406,1,1,1,1,1,1,1
00407,1,1,1,1,0,1,1
00408,1,1,1,1,1,1,0
00409,1,1,1,1,1,1,1
00410,1,1,1,1,1,1,0
00411,1,1,1,1,1,1,1
00412,1,1,1,1,0,0,0
00413,1,1,1,1,1,0,0
00414,1,1,1,1,1,0,0
00415,1,1,1,1,0,0,0
00416,1,1,1,1,1,1,0
00417,1,1,1,1,0,0,0
00418,1,1,1,1,1,1,1
00419,1,1,1,1,1,1,0
00420,1,1,1,1,1,1,1
00421,1,1,1,1,1,1,1
00422,1,1,1,1,1,1,1
00423,1,1,1,1,1,0,1
00424,1,1,1,1,1,1,1
00425,1,1,1,1,1,1,0
00426,1,1,1,1,0,0,1
00427,1,1,1,0,1,0,0
00428,1,1,1,1,1,1,1
00429,0,0,1,1,1,1,0
00430,1,1,1,1,1,1,0
00431,1,1,1,1,1,1,1
00432,1,1,1,1,1,1,1
00433,1,1,1,1,1,0,1
00434,1,1,1,1,1,1,0
00435,1,1,1,1,1,1,1
00436,1,1,1,1,1,1,0
00437,1,1,1,1,1,1,1
00438,1,1,1,1,1,1,0
00439,1,1,1,1,1,0,1
00440,1,1,1,1,0,0,0
00441,1,1,1,1,1,0,0
00442,1,1,1,1,0,1,0
00443,1,1,1,1,0,1,0
00444,1,1,1,1,1,1,1
00445,1,1,1,1,1,1,1
00446,1,1,1,1,1,0,1
00447,1,1,1,1,1,0,0
00448,1,1,1,1,1,1,0
00449,1,1,1,1,0,0,0
00450,1,1,1,1,1,1,0
00451,1,1,1,1,1,1,0
00452,1,1,1,1,1,1,1
00453,1,1,1,1,0,0,0
00454,1,1,1,0,1,0,1
00455,1,1,1,0,1,0,0
00456,1,1,1,1,0,1,1
00457,1,1,1,1,1,1,0
00458,1,1,1,0,0,0,0
00459,1,1,1,1,1,0,0
00460,1,1,1,1,1,0,0
00461,1,1,1,1,0,1,1
00462,1,1,1,1,1,1,0
00463,1,1,1,0,1,0,0
00464,1,0,1,1,1,0,1
00465,1,1,1,1,1,1,1
00466,1,1,1,0,0,0,0
00467,1,1,1,1,0,0,0
00468,1,1,1,1,1,0,0
00469,1,1,1,1,1,1,1
00470,1,1,1,1,1,0,0
00471,1,1,1,1,1,1,1
00472,1,1,1,1,1,1,0
00473,1,1,1,1,1,1,1
00474,1,1,1,1,1,1,1
00475,1,1,1,1,1,1,1
00476,1,1,1,1,1,1,1
00477,1,1,1,1,1,1,1
00478,0,1,1,1,1,1,1
00479,1,1,1,1,0,0,0
00480,1,1,1,1,1,1,1
00481,1,1,1,1,1,1,0
00482,1,1,1,1,1,1,0
00483,1,1,1,1,0,1,1
00484,1,1,1,1,1,0,0
00485,1,1,1,0,0,1,0
00486,1,1,1,1,1,1,1
00487,1,1,1,1,1,1,1
00488,1,1,1,1,1,1,1
00489,1,1,1,1,1,1,1
00490,1,1,1,1,1,1,0
00491,1,1,1,1,1,1,0
00492,1,1,1,1,1,1,1
00493,1,1,1,1,1,0,0
00494,1,1,1,1,1,1,1
00495,1,1,1,1,1,1,1
00496,1,1,1,1,1,1,1
00497,1,1,1,1,1,0,1
00498,1,1,1,1,1,1,1
00499,1,1,1,1,1,1,1
00500,1,0,0,1,0,1,1
00501,1,1,1,1,1,0,0
00502,1,1,1,1,1,1,0
00503,1,1,1,1,0,0,1
00504,1,1,1,1,1,1,1
00505,1,1,1,1,0,0,0
00506,1,1,1,1,1,0,0
00507,1,1,1,1,0,1,0
00508,1,1,1,1,1,1,1
00509,1,1,1,1,1,1,1
00510,1,1,1,1,1,1,1
00511,1,1,1,1,1,0,0
00512,1,1,1,1,1,0,0
00513,1,1,1,1,1,1,0
00514,1,1,1,1,1,1,1
00515,1,1,1,1,1,0,0
00516,1,1,1,1,1,1,1
00517,1,1,1,1,0,0,0
00518,1,1,1,1,1,0,0
00519,1,1,1,1,0,0,0
00520,1,1,1,1,1,1,1
00521,1,1,1,1,1,0,0
00522,1,1,1,1,1,1,1
00523,1,1,1,1,1,1,1
00524,1,1,1,1,1,1,1
00525,1,1,1,1,1,1,1
00526,1,1,1,1,1,1,0
00527,1,1,1,1,1,1,1
00528,1,1,1,1,1,0,0
00529,1,1,1,1,1,1,0
00530,1,1,1,1,1,1,1
00531,1,1,1,0,0,0,0
00532,0,0,1,1,1,1,0
00533,1,1,1,1,0,1,0
00534,1,1,1,1,1,1,1
00535,1,1,1,1,1,1,1
00536,1,1,1,1,1,1,1
00537,1,1,1,1,1,1,1
00538,1,1,0,0,0,0,0
00539,1,1,1,1,1,1,1
00540,0,1,1,1,1,0,0
00541,1,1,1,1,1,1,1
00542,1,1,1,1,1,1,1
00543,1,1,1,1,1,0,1
00544,1,1,1,1,1,0,0
00545,1,1,1,1,1,1,1
00546,1,1,1,1,1,1,0
00547,1,1,1,1,0,0,1
00548,1,1,1,1,1,0,0
00549,1,1,1,1,1,0,0
00550,1,1,1,1,1,1,0
00551,1,1,1,1,1,1,1
00552,1,1,1,1,1,1,0
00553,1,1,1,1,1,1,0
00554,1,1,1,1,1,1,1
00555,1,1,1,1,0,1,1
00556,1,1,1,1,1,1,1
00557,1,1,1,1,1,0,1
00558,1,1,1,1,1,1,0
00559,1,1,1,1,1,1,0
00560,1,1,1,1,1,0,0
00561,1,1,1,1,1,1,0
00562,1,1,1,1,1,1,1
00563,1,1,1,1,1,1,0
00564,1,1,1,0,1,1,0
00565,1,1,1,1,1,0,0
00566,1,1,1,1,1,1,0
00567,1,1,1,1,1,1,0
00568,1,1,1,1,1,1,0
00569,1,1,1,1,1,1,0
00570,1,1,1,1,1,1,1
00571,1,1,1,1,1,0,0
00572,1,1,1,1,0,0,0
00573,1,1,1,1,1,1,0
00574,1,1,1,1,1,0,0
00575,1,1,1,1,1,1,1
00576,1,1,1,1,1,1,1
00577,1,1,1,1,1,1,0
00578,1,1,1,0,0,1,1
00579,1,1,1,1,1,0,1
00580,1,1,1,1,1,1,1
00581,1,1,1,1,1,1,1
00582,1,1,1,1,1,1,1
00583,1,1,1,1,1,0,1
00584,1,1,1,1,1,1,0
00585,1,1,1,1,1,1,1
00586,1,1,1,1,1,1,1
00587,1,1,1,0,1,1,1
00588,1,1,1,1,1,1,1
00589,1,1,1,1,1,1,1
00590,1,1,1,1,1,1,1
00591,1,1,1,1,0,0,0
00592,1,1,1,1,1,1,0
00593,1,1,1,1,1,0,0
00594,1,1,1,1,0,0,0
00595,1,1,1,1,1,1,1
00596,1,1,1,1,0,0,0
00597,1,1,1,1,1,1,0
00598,1,1,1,1,1,0,1
00599,1,1,1,1,1,1,1
00600,1,1,1,1,1,0,1
00601,1,1,1,1,1,1,1
00602,1,1,1,1,1,0,0
00603,1,1,1,1,1,1,1
00604,1,1,1,1,1,0,1
00605,1,1,1,1,1,1,1
00606,1,1,0,1,0,0,0
00607,1,1,1,1,1,1,1
00608,1,1,1,1,1,1,1
00609,1,1,1,1,1,1,1
00610,1,1,1,1,1,0,0
00611,1,1,1,1,1,1,1
00612,1,1,1,1,1,1,0
00613,1,1,1,1,1,1,0
00614,1,1,1,1,1,1,1
00615,1,1,1,1,1,1,1
00616,1,1,1,1,1,1,1
00617,1,1,1,1,1,1,1
00618,1,1,1,1,1,0,0
00619,1,1,1,1,1,0,0
00620,0,1,1,1,1,1,0
00621,1,1,1,1,1,0,1
00622,1,1,1,1,1,1,1
00623,1,1,1,1,1,1,0
00624,1,1,1,1,1,1,0
00625,1,1,1,1,1,1,1
00626,1,1,1,1,1,1,0
00627,1,1,1,1,0,1,1
00628,1,1,1,1,1,1,1
00629,1,1,1,1,1,1,0
00630,1,1,1,1,1,1,1
00631,1,1,1,1,1,1,1
00632,1,1,1,0,0,0,0
00633,1,1,1,1,0,0,0
00634,1,1,1,1,1,1,1
00635,1,1,1,1,1,1,1
00636,1,1,1,1,1,1,1
00637,1,1,1,1,0,1,0
00638,1,1,1,1,1,1,0
00639,1,1,1,1,0,0,0
00640,1,1,1,1,1,1,0
00641,1,1,1,1,1,1,0
00642,1,1,1,1,1,1,1
00643,1,1,1,1,1,1,1
00644,1,1,1,1,1,1,0
00645,1,1,1,1,1,1,1
00646,1,1,1,1,1,0,0
00647,1,1,1,1,1,0,1
00648,1,1,1,1,1,1,1
00649,1,1,1,1,1,1,1
00650,1,1,1,1,1,1,0
00651,1,1,1,1,1,1,1
00652,1,1,1,1,1,0,1
00653,1,1,1,0,0,0,1
00654,1,1,1,1,1,1,1
00655,1,1,1,1,1,1,1
00656,1,1,1,1,1,1,1
00657,1,1,1,1,1,0,0
00658,1,1,1,1,1,0,1
00659,1,1,1,1,1,1,1
00660,1,1,1,1,0,0,0
00661,1,1,1,1,1,1,0
00662,1,1,0,0,0,0,1
00663,1,1,1,1,1,1,1
00664,1,1,1,1,1,1,1
00665,1,1,1,1,1,0,0
00666,1,1,1,1,1,1,1
00667,1,1,1,1,1,1,1
00668,1,1,1,1,1,0,0
00669,1,1,1,1,1,0,0
00670,1,1,1,1,1,1,1
00671,1,1,1,1,1,1,0
00672,1,1,1,1,1,1,1
00673,1,1,1,1,1,1,0
00674,1,1,1,1,1,0,1
00675,1,1,1,1,1,1,0
00676,1,1,1,1,1,0,0
00677,1,1,1,1,0,0,0
00678,1,1,1,1,0,1,0
00679,1,1,1,1,1,0,0
00680,0,0,1,1,1,0,0
00681,1,1,1,1,1,1,1
00682,1,1,1,1,1,1,1
00683,1,1,1,1,0,0,1
00684,1,1,1,1,1,1,1
00685,1,0,0,0,1,0,0
00686,1,1,1,1,1,1,1
00687,1,0,1,1,1,0,0
00688,1,1,1,1,1,0,1
00689,1,1,1,1,0,0,0
00690,1,1,1,1,1,1,0
00691,1,1,1,1,0,1,1
00692,1,1,1,1,1,1,0
00693,1,1,1,1,1,1,1
00694,1,1,1,1,1,1,1
00695,1,1,1,1,0,1,0
00696,1,1,1,1,1,1,1
00697,1,1,1,1,1,0,1
00698,1,1,1,0,0,1,1
00699,1,1,1,1,1,1,0
00700,1,1,1,1,1,0,0
00701,1,1,1,0,1,0,0
00702,1,1,1,1,1,1,0
00703,1,1,1,1,0,0,0
00704,1,1,1,1,1,0,0
00705,1,1,1,1,1,1,0
00706,1,1,1,1,1,1,0
00707,1,1,1,1,1,1,0
00708,1,1,1,1,1,1,1
00709,1,1,1,1,1,1,1
00710,1,1,1,1,1,1,0
00711,0,0,1,1,1,0,0
00712,1,1,1,1,1,1,1
00713,1,1,1,1,0,1,0
00714,1,1,1,1,1,0,0
00715,1,1,1,0,1,0,1
00716,1,1,1,1,1,1,0
00717,1,1,1,1,1,1,0
00718,1,1,1,0,0,0,1
00719,1,1,0,1,0,1,0
00720,1,1,1,1,1,1,1
00721,1,1,1,1,1,1,0
00722,1,1,1,0,1,0,1
00723,1,1,1,1,1,1,0
00724,1,1,1,1,0,0,1
00725,1,1,1,1,1,1,1
00726,1,1,1,1,1,1,1
00727,1,1,1,1,1,1,1
00728,1,1,1,1,1,0,0
00729,1,1,1,1,1,0,0
00730,1,1,1,1,1,1,1
00731,1,1,1,1,1,1,1
00732,0,0,1,1,1,1,1
00733,1,1,1,1,1,0,0
00734,1,1,1,1,0,0,0
00735,1,1,1,1,1,1,1
00736,1,1,1,1,1,0,0
00737,1,1,1,1,0,1,1
00738,1,1,1,1,1,1,1
00739,1,1,1,1,1,1,1
00740,1,1,1,1,1,1,1
00741,1,1,1,1,1,0,0
00742,1,1,1,1,1,1,1
00743,1,1,1,1,1,1,0
00744,1,1,1,1,1,1,0
00745,1,1,1,1,1,0,0
00746,1,1,1,1,1,0,0
00747,1,1,1,1,1,0,0
00748,1,1,1,1,1,1,0
00749,1,1,1,1,0,0,0
00750,1,1,1,1,1,1,1
00751,1,1,1,1,1,0,0
00752,1,1,1,1,1,0,0
00753,1,1,1,1,0,0,0
00754,1,1,1,1,1,1,0
00755,1,1,1,1,1,1,1
00756,1,1,1,1,1,0,1
00757,1,1,1,1,1,1,1
00758,1,1,1,1,1,0,0
00759,0,0,1,1,1,0,0
00760,1,1,1,1,1,0,1
00761,1,1,1,1,1,1,0
00762,1,1,1,1,1,0,1
00763,1,1,1,1,1,0,0
00764,1,1,1,1,1,1,1
00765,1,1,1,1,1,0,1
00766,1,1,1,1,1,0,0
00767,1,1,1,1,1,1,1
00768,1,1,1,1,1,0,0
00769,1,1,1,1,0,1,0
00770,1,1,1,1,1,1,0
00771,1,1,1,1,0,1,1
00772,1,1,1,1,0,0,1
00773,1,1,1,1,1,1,1
00774,1,1,1,1,1,1,1
00775,1,1,1,1,0,1,0
00776,1,1,1,1,0,0,0
00777,1,1,1,1,0,1,1
00778,1,1,1,1,0,0,0
00779,1,1,1,1,1,1,1
00780,1,1,1,1,1,1,0
00781,1,1,1,1,1,0,0
00782,1,1,1,1,1,0,0
00783,1,1,1,1,1,1,1
00784,1,1,1,1,1,0,0
00785,1,1,1,1,1,1,1
00786,1,1,1,1,1,1,1
00787,1,1,1,1,1,1,0
00788,1,1,1,1,1,1,1
00789,1,1,1,0,0,0,0
00790,1,1,1,1,1,1,1
00791,1,1,1,1,1,1,1
00792,1,1,1,1,1,1,0
00793,1,1,1,1,1,1,1
00794,1,1,1,1,1,1,0
00795,1,1,1,1,1,1,0
00796,1,1,1,0,0,0,0
00797,1,1,1,1,1,1,0
00798,1,1,1,1,1,0,0
00799,1,1,1,1,0,0,0
00800,1,1,1,1,1,1,1
00801,1,1,1,1,1,1,0
00802,1,1,1,1,0,1,0
00803,1,1,1,1,1,0,1
00804,1,1,1,1,1,1,0
00805,0,0,1,1,1,1,1
00806,1,1,1,1,1,0,1
00807,0,0,1,1,0,0,1
00808,1,1,1,1,1,0,0
00809,1,1,1,1,1,1,0
00810,1,1,1,1,1,1,0
00811,1,1,1,1,1,1,1
00812,1,1,1,1,1,1,1
00813,1,1,1,1,1,0,0
00814,1,1,1,1,1,1,1
00815,1,1,1,1,0,0,0
00816,1,1,1,1,0,0,0
00817,1,1,1,1,1,1,1
00818,1,1,1,1,1,1,1
